ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,ASSAY_TYPE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_TYPE,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,YEAR_START,SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TEST_TIME,MORTALITY_ADJUSTED,RESISTANCE_STATUS,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
DISPUB23_C2WB2J,Côte d’Ivoire,CI,Agboville,undefined,Gbalekro,IRCI101,5.949000,-4.278100,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),97,24hrs,3.00,Confirmed resistance,Not available,Kouamé RMA et al. (2023) Widespread occurrence of copy number variants and fixation of pyrethroid target site resistance in Anopheles gambiae (s.l.) from southern Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2023 Mar 5;3:100117.,https://pubmed.ncbi.nlm.nih.gov/36970448/,World Health Organization
DISPUB23_A8TW2A,Côte d’Ivoire,CI,Agboville,undefined,Ouanguie,IRCI102,5.866420,-4.228580,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),97,24hrs,3.00,Confirmed resistance,Not available,Kouamé RMA et al. (2023) Widespread occurrence of copy number variants and fixation of pyrethroid target site resistance in Anopheles gambiae (s.l.) from southern Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2023 Mar 5;3:100117.,https://pubmed.ncbi.nlm.nih.gov/36970448/,World Health Organization
DISPUB23_C6QJ8U,Côte d’Ivoire,CI,undefined,undefined,Issia,IRCI103,6.487614,-6.583677,Discriminating concentration bioassays,WHO tube test,Carbamates,Bendiocarb,0.1%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,94.37,Possible resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB23_K0BZ9Z,Côte d’Ivoire,CI,undefined,undefined,Soubre,IRCI104,5.786623,-6.589010,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,7.36,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB23_K0QV5A,Côte d’Ivoire,CI,Grands Ponts,Dabou,Dabou,IRCI18,5.316667,-4.383333,Discriminating concentration bioassays,WHO tube test,Organochlorines,DDT,4%,1,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,1.29,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB23_F2WW4A,Côte d’Ivoire,CI,undefined,undefined,Soubre,IRCI104,5.786623,-6.589010,Discriminating concentration bioassays,WHO tube test,Organophosphates,Malathion,5%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,99.57,Susceptible,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB23_G1IJ0K,Côte d’Ivoire,CI,Agboville,undefined,Boa Vincent,IRCI99,5.894750,-4.592300,Discriminating concentration bioassays,WHO tube test,Organophosphates,Pirimiphos-methyl,0.25%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),98,24hrs,91.00,Undetermined,Not available,Kouamé RMA et al. (2023) Widespread occurrence of copy number variants and fixation of pyrethroid target site resistance in Anopheles gambiae (s.l.) from southern Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2023 Mar 5;3:100117.,https://pubmed.ncbi.nlm.nih.gov/36970448/,World Health Organization
DISPUB23_V0KP9F,Côte d’Ivoire,CI,undefined,undefined,Issia,IRCI103,6.487614,-6.583677,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,23.38,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB24_A2NC0O,Côte d’Ivoire,CI,Bounkani,Bouna,Bouna,IRCI17,9.271000,-2.992000,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),84,24hrs,5.95,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_A6DO9D,Côte d’Ivoire,CI,Indenie-Djuablin,Abengourou,Abengourou,IRCI1,6.729096,-3.496320,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,3.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
DISPUB24_A6QQ5O,Côte d’Ivoire,CI,Marahoue,Bouafle,Bouafle,IRCI15,6.986600,-5.742400,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),91,24hrs,37.61,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_A8TW2A,Côte d’Ivoire,CI,San-Pédro,San-Pédro,San-Pédro,IRCI57,4.758807,-6.691275,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),83,24hrs,15.66,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_A9TI9W,Côte d’Ivoire,CI,Bafing,Touba,Touba,IRCI72,8.284169,-7.681943,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),101,24hrs,0.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_B2QT2N,Côte d’Ivoire,CI,Tonkpi,Man,Man,IRCI39,7.412090,-7.562108,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),94,24hrs,13.83,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_B5TO4X,Côte d’Ivoire,CI,Indenie-Djuablin,Abengourou,Abengourou,IRCI1,6.729096,-3.496320,Discriminating concentration bioassays,WHO tube test,Carbamates,Bendiocarb,0.1%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,44.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
DISPUB24_C2WB2J,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Agboville,IRCI5,5.931800,-4.218100,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Lambda-cyhalothrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),106,24hrs,98.00,Susceptible,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_D5VK6D,Côte d’Ivoire,CI,Haut-Sassandra,Daloa,Daloa,IRCI19,6.877700,-6.451300,Discriminating concentration bioassays,WHO tube test,Carbamates,Bendiocarb,0.1%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,62.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
DISPUB24_F6SJ2C,Côte d’Ivoire,CI,Poro,Korhogo 2,Korhogo,IRCI37,9.450654,-5.626144,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),84,24hrs,2.38,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_I3JG8V,Côte d’Ivoire,CI,Sud-Comoe,Aboisso,Aboisso,IRCI84,5.473000,-3.211080,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),96,24hrs,0.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_J7NY2L,Côte d’Ivoire,CI,Lacs,Moronou,Bongouanou,IRCI112,6.647045,-4.204330,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),77,24hrs,15.15,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_J9GA6Y,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,Discriminating concentration bioassays,WHO tube test,Organophosphates,Pirimiphos-methyl,0.25%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),102,24hrs,100.00,Undetermined,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_K0QV5A,Côte d’Ivoire,CI,Bagoue,Tengrela,Tingrela,IRCI69,10.438800,-6.398200,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),39,24hrs,5.10,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB23_N8HW9A,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Azaguie,IRCI8,5.630507,-4.086356,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Deltamethrin,0.05%,1,2018,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),80-100,24hrs,9.48,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Kouadio FA et al. (2023) Relationship between insecticide resistance profiles in Anopheles gambiae sensu lato and agricultural practices in Côte d'Ivoire. Parasit Vectors. 2023 Aug 9;16(1):270.,https://pubmed.ncbi.nlm.nih.gov/37559080/,World Health Organization
DISPUB24_M3MA0F,Côte d’Ivoire,CI,Gbokle,Sassandra,Sassandra,IRCI58,4.953800,-6.085300,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2022,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),94,24hrs,4.30,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_M4GO5V,Côte d’Ivoire,CI,Indenie-Djuablin,Abengourou,Abengourou,IRCI1,6.729096,-3.496320,Discriminating concentration bioassays,WHO tube test,Organophosphates,Pirimiphos-methyl,0.25%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24hrs,98.00,Undetermined,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Ekra AK et al. (2024) Can neonicotinoid and pyrrole insecticides manage malaria vector resistance in high pyrethroid resistance areas in Côte d'Ivoire? Malar J. 2024 May 22;23(1):160.,https://pubmed.ncbi.nlm.nih.gov/38778399/,World Health Organization
DISPUB24_O8WL7T,Côte d’Ivoire,CI,Kabadougou,Odienné,Odienné,IRCI51,9.503715,-7.579168,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),96,24hrs,3.13,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_P2RW6I,Côte d’Ivoire,CI,Haut-Sassandra,Daloa,Daloa,IRCI19,6.877700,-6.451300,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Permethrin,0.75%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),82,24hrs,0.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
DISPUB24_P2UB2J,Côte d’Ivoire,CI,Kabadougou,Odienne,Katiola,IRCI35,9.659167,-7.629722,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Lambda-cyhalothrin,0.05%,1,2020,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,24hrs,99.00,Susceptible,Centre d'Entomologie Medicale et Veterinaire,"Loukou KSP et al. (2024) Malaria incidence and resistance of Anopheles gambiae s.l, the main vector of malaria in Côte d’Ivoire: Correlation and resistance mechanisms in three localities with low and high incidence of malaria. International Journal of Biological and Chemical Sciences Vol. 18. No.2",https://www.ajol.info/index.php/ijbcs/article/view/274437,World Health Organization
DISPUB24_Q2MO2V,Côte d’Ivoire,CI,Gbeke,Bouaké Sud,Bouaké,IRCI16,7.666667,-5.016600,Discriminating concentration bioassays,WHO tube test,Pyrethroids,Alpha-cypermethrin,0.05%,1,2021,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),105,24hrs,1.00,Confirmed resistance,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Chabi J et al. (2024) Level of involvement of four selected cytochrome P450s (CYPs) in pyrethroid-resistant Anopheles gambiae (s.s.) and Anopheles coluzzii across Côte d'Ivoire. Curr Res Parasitol Vector Borne Dis. 2024 Oct 19;6:100223.,https://pubmed.ncbi.nlm.nih.gov/39624208/,World Health Organization
